"Timestamp","CPU_Usage","Mem_Usage_MB","Disk_KBps","File_KBps"
"2025-05-09 01:26:34","1.46","2,388.90","143.47","0.00"
"2025-05-09 01:26:54","0.68","2,388.59","0.00","0.00"
"2025-05-09 01:27:14","0.00","2,389.00","0.00","8.09"
"2025-05-09 01:27:35","0.00","2,388.64","0.00","0.00"
"2025-05-09 01:27:58","0.00","2,389.20","75.63","0.00"
"2025-05-09 01:28:19","0.04","2,386.66","0.00","0.00"
"2025-05-09 01:28:39","0.27","2,386.45","0.00","0.50"
"2025-05-09 01:29:00","0.29","2,385.00","0.00","12.19"
"2025-05-09 01:29:20","2.10","2,386.05","2.96","0.00"
"2025-05-09 01:29:40","0.14","2,384.97","0.00","0.50"
"2025-05-09 01:29:59","1.01","2,384.69","0.00","0.00"
"2025-05-09 01:30:18","0.16","2,385.10","0.00","0.00"
"2025-05-09 01:30:37","0.00","2,385.00","0.00","0.00"
"2025-05-09 01:30:56","0.00","2,384.91","0.00","0.00"
"2025-05-09 01:31:15","3.04","2,384.58","0.00","4.05"
"2025-05-09 01:31:34","0.59","2,384.29","0.00","0.00"
"2025-05-09 01:31:53","0.01","2,383.34","0.00","0.00"
"2025-05-09 01:32:12","2.12","2,384.31","0.00","0.40"
"2025-05-09 01:32:31","0.07","2,384.04","63.84","6.08"
"2025-05-09 01:32:50","0.00","2,384.63","17.43","0.00"
"2025-05-09 01:33:09","1.70","2,383.61","0.00","0.00"
"2025-05-09 01:33:28","0.52","2,384.05","0.00","0.00"
"2025-05-09 01:33:47","0.00","2,386.03","0.00","0.00"
"2025-05-09 01:34:07","0.00","2,387.48","0.00","0.00"
"2025-05-09 01:34:26","0.79","2,387.52","0.00","0.40"
"2025-05-09 01:34:45","0.66","2,386.35","0.00","4.05"
"2025-05-09 01:35:07","0.82","2,387.27","0.00","0.00"
"2025-05-09 01:35:27","1.74","2,386.19","0.00","0.00"
"2025-05-09 01:35:47","0.00","2,389.77","0.00","0.00"
"2025-05-09 01:36:07","0.91","2,389.59","2.50","0.00"
"2025-05-09 01:36:27","1.44","2,389.45","273.19","0.00"
"2025-05-09 01:36:47","1.90","2,388.36","24.02","37.81"
"2025-05-09 01:37:06","0.00","2,389.38","3.95","0.00"
"2025-05-09 01:37:26","0.00","2,388.61","194.51","0.40"
"2025-05-09 01:37:46","0.00","2,388.23","0.00","0.00"
"2025-05-09 01:38:06","2.26","2,387.39","304.22","0.00"
"2025-05-09 01:38:25","0.99","2,387.46","0.00","0.00"
"2025-05-09 01:38:45","1.51","2,387.18","0.00","4.07"
"2025-05-09 01:39:05","1.46","2,389.68","0.00","0.00"
"2025-05-09 01:39:25","0.00","2,388.76","190.70","0.00"
"2025-05-09 01:39:44","4.05","2,388.51","0.00","4.07"
"2025-05-09 01:40:04","1.63","2,388.69","0.00","0.00"
"2025-05-09 01:40:23","3.49","2,388.37","0.00","0.40"
"2025-05-09 01:40:42","0.00","2,384.26","0.00","0.00"
"2025-05-09 01:41:01","1.44","2,385.02","11.85","0.00"
"2025-05-09 01:41:20","0.00","2,384.41","0.00","0.00"
"2025-05-09 01:41:39","1.43","2,384.29","63.15","0.50"
"2025-05-09 01:41:58","0.04","2,384.91","0.00","0.00"
"2025-05-09 01:42:17","0.00","2,384.50","0.00","0.00"
"2025-05-09 01:42:37","0.06","2,384.48","0.00","1.14"
"2025-05-09 01:42:56","1.42","2,382.89","0.00","0.00"
"2025-05-09 01:43:15","0.00","2,381.73","0.00","4.09"
"2025-05-09 01:43:34","0.04","2,381.61","60.04","0.40"
"2025-05-09 01:43:53","1.45","2,382.27","0.00","0.00"
"2025-05-09 01:44:12","0.00","2,383.41","0.00","0.00"
"2025-05-09 01:44:31","0.00","2,384.03","0.00","6.11"
"2025-05-09 01:44:50","0.02","2,383.91","0.00","0.00"
"2025-05-09 01:45:09","0.67","2,383.93","0.00","0.00"
"2025-05-09 01:45:30","0.37","2,383.54","0.00","0.00"
"2025-05-09 01:45:50","0.00","2,385.43","0.00","0.00"
"2025-05-09 01:46:11","1.80","2,385.89","0.00","0.00"
"2025-05-09 01:46:32","0.56","2,385.95","0.00","0.00"
"2025-05-09 01:46:52","2.05","2,382.98","0.00","0.00"
"2025-05-09 01:47:12","0.29","2,383.45","0.00","0.00"
"2025-05-09 01:47:33","3.38","2,382.71","0.00","0.00"
"2025-05-09 01:47:53","0.54","2,393.18","130.35","0.00"
"2025-05-09 01:48:13","0.00","2,389.77","0.00","0.00"
"2025-05-09 01:48:33","4.19","2,387.42","0.00","0.00"
"2025-05-09 01:48:53","1.03","2,388.68","0.00","0.00"
"2025-05-09 01:49:13","1.65","2,388.71","0.00","0.00"
"2025-05-09 01:49:34","0.14","2,389.11","0.00","0.40"
"2025-05-09 01:49:54","0.16","2,386.79","0.00","0.40"
"2025-05-09 01:50:15","1.73","2,386.84","0.00","8.58"
"2025-05-09 01:50:34","0.59","2,386.58","0.00","0.00"
"2025-05-09 01:50:53","0.15","2,386.11","0.00","0.00"
"2025-05-09 01:51:12","0.00","2,386.12","14.00","0.00"
"2025-05-09 01:51:31","0.36","2,385.15","0.00","17.11"
"2025-05-09 01:51:50","0.42","2,385.57","0.00","0.00"
"2025-05-09 01:52:09","0.79","2,385.00","0.00","0.00"
"2025-05-09 01:52:28","0.17","2,385.41","0.00","0.00"
"2025-05-09 01:52:47","1.96","2,385.08","0.00","0.00"
"2025-05-09 01:53:06","0.27","2,385.43","8.01","0.00"
"2025-05-09 01:53:25","0.30","2,385.26","0.00","0.00"
"2025-05-09 01:53:44","5.10","2,385.90","0.00","0.40"
"2025-05-09 01:54:03","7.93","2,387.70","0.00","0.00"
"2025-05-09 01:54:22","0.95","2,387.26","0.00","0.00"
