"Timestamp","CPU_Usage","Mem_Avail_MB","Disk_BytesPerSec","FileIO_BytesPerSec"
"2025-05-08_13-55-46","0.57","619.00","0.00","0.00"
"2025-05-08_13-56-00","0.11","619.00","0.00","0.00"
"2025-05-08_13-56-14","0.76","619.00","0.00","0.00"
"2025-05-08_13-56-28","2.70","619.00","64,816.98","0.00"
"2025-05-08_13-56-42","0.12","618.00","0.00","0.00"
"2025-05-08_13-56-56","0.16","613.00","0.00","0.00"
"2025-05-08_13-57-10","0.00","612.00","0.00","0.00"
"2025-05-08_13-57-24","0.22","613.00","0.00","0.00"
"2025-05-08_13-57-38","0.00","605.00","42,030.27","292.12"
"2025-05-08_13-57-52","0.00","606.00","8,608.22","0.00"
"2025-05-08_13-58-07","0.77","607.00","61,113.96","0.00"
"2025-05-08_13-58-21","0.00","608.00","24,430.97","0.00"
"2025-05-08_13-58-35","1.01","613.00","0.00","0.00"
"2025-05-08_13-58-49","0.29","616.00","0.00","0.00"
"2025-05-08_13-59-04","1.74","616.00","61,382.64","0.00"
"2025-05-08_13-59-18","1.19","617.00","34,369.56","410.90"
"2025-05-08_13-59-32","3.22","615.00","0.00","0.00"
"2025-05-08_13-59-46","0.75","609.00","8,608.44","0.00"
"2025-05-08_14-00-01","0.50","616.00","8,189.73","64,694.74"
"2025-05-08_14-00-15","0.00","610.00","113,001.44","0.00"
"2025-05-08_14-00-29","0.00","604.00","8,108.60","0.00"
"2025-05-08_14-00-44","0.00","624.00","61,141.63","0.00"
"2025-05-08_14-00-58","5.48","618.00","61,110.79","415.21"
"2025-05-08_14-01-12","0.00","614.00","0.00","0.00"
"2025-05-08_14-01-26","0.10","620.00","0.00","0.00"
"2025-05-08_14-01-41","1.40","613.00","115,724.80","0.00"
"2025-05-08_14-01-55","2.45","614.00","0.00","65,337.27"
"2025-05-08_14-02-09","1.00","655.00","113,102.15","0.00"
"2025-05-08_14-02-24","0.00","654.00","32,554.70","0.00"
"2025-05-08_14-02-38","0.46","655.00","56,689.71","826.04"
"2025-05-08_14-02-52","1.71","666.00","95,173.79","511.08"
"2025-05-08_14-03-07","0.53","664.00","0.00","0.00"
"2025-05-08_14-03-21","1.14","656.00","8,149.55","0.00"
"2025-05-08_14-03-35","0.01","665.00","0.00","0.00"
"2025-05-08_14-03-49","1.39","665.00","9,961,589.66","307.04"
"2025-05-08_14-04-03","1.00","671.00","0.00","0.00"
"2025-05-08_14-04-17","0.02","671.00","85,564.43","0.00"
"2025-05-08_14-04-31","0.17","671.00","0.00","0.00"
"2025-05-08_14-04-45","0.00","671.00","0.00","0.00"
"2025-05-08_14-04-59","0.17","671.00","68,825.59","0.00"
"2025-05-08_14-05-13","0.67","671.00","0.00","0.00"
"2025-05-08_14-05-27","1.44","672.00","0.00","0.00"
"2025-05-08_14-05-41","0.15","672.00","0.00","0.00"
"2025-05-08_14-05-55","0.00","664.00","149,001.28","0.00"
"2025-05-08_14-06-10","1.33","643.00","0.00","0.00"
"2025-05-08_14-06-24","0.00","643.00","60,991.24","0.00"
"2025-05-08_14-06-38","0.00","643.00","0.00","0.00"
"2025-05-08_14-06-52","1.58","643.00","0.00","507.22"
"2025-05-08_14-07-06","0.00","643.00","28,335.99","0.00"
"2025-05-08_14-07-20","0.00","643.00","11,271.57","0.00"
"2025-05-08_14-07-34","0.00","643.00","0.00","0.00"
"2025-05-08_14-07-48","0.00","643.00","0.00","414.41"
"2025-05-08_14-08-02","0.61","670.00","66,406.81","0.00"
"2025-05-08_14-08-16","0.00","670.00","0.00","0.00"
"2025-05-08_14-08-30","0.98","670.00","0.00","0.00"
"2025-05-08_14-08-44","0.02","667.00","290,159.83","0.00"
"2025-05-08_14-08-58","75.03","577.00","28,635.27","2,315,434.64"
"2025-05-08_14-09-13","0.28","565.00","0.00","0.00"
"2025-05-08_14-09-27","0.19","576.00","260,332.29","0.00"
"2025-05-08_14-09-41","0.27","580.00","15,810.58","0.00"
