"Timestamp","FileName","Size","Extension","Entropy","LastAccess","LastWrite"
"2025-05-09 01:04:14","003063.pdf","1733125",".pdf","7.997","5/8/2025 5:41:20 PM","5/8/2025 5:41:20 PM"
"2025-05-09 01:04:14","006863.html","59197",".html","4.373","5/8/2025 12:44:03 PM","2/5/2009 10:13:24 PM"
"2025-05-09 01:04:15","005837.txt","118457",".txt","4.638","5/8/2025 1:52:39 PM","5/8/2025 1:52:39 PM"
"2025-05-09 01:04:15","004174.html","8784",".html","5.209","5/8/2025 1:51:42 PM","5/8/2025 1:51:42 PM"
"2025-05-09 01:04:15","001048.ps","239328",".ps","4.862","5/8/2025 12:44:04 PM","8/24/1999 12:22:36 PM"
"2025-05-09 01:04:15","002395.doc","30756",".doc","2.366","5/8/2025 1:09:34 PM","5/8/2025 1:09:34 PM"
"2025-05-09 01:04:15","007018.html","18917",".html","5.556","5/8/2025 1:06:02 PM","5/8/2025 1:06:02 PM"
"2025-05-09 01:04:15","009067.pdf","295234",".pdf","7.663","5/8/2025 12:43:35 PM","10/19/2005 3:56:26 PM"
"2025-05-09 01:04:15","003911.html","15989",".html","5.163","5/8/2025 5:40:25 PM","5/8/2025 5:40:25 PM"
"2025-05-09 01:04:15","010061.jpg","24612",".jpg","7.968","5/8/2025 2:51:09 PM","5/8/2025 2:51:09 PM"
"2025-05-09 01:04:15","008765.html","12398",".html","5.371","5/8/2025 12:43:50 PM","6/5/2008 5:42:56 PM"
"2025-05-09 01:04:15","004773.fits","13022",".fits","5.119","5/8/2025 5:44:59 PM","5/8/2025 5:44:59 PM"
"2025-05-09 01:04:15","004393.txt","171227",".txt","3.684","5/8/2025 12:44:16 PM","7/3/2006 10:57:21 AM"
"2025-05-09 01:04:15","009954.html","463",".html","5.231","5/8/2025 2:31:48 PM","5/8/2025 2:31:48 PM"
"2025-05-09 01:04:15","010502.html","17103",".html","5.501","5/8/2025 12:43:42 PM","2/5/2009 11:16:33 PM"
"2025-05-09 01:04:15","002431.ppt","869376",".ppt","7.686","5/9/2025 6:38:07 AM","5/9/2025 6:38:07 AM"
"2025-05-09 01:04:15","005230.pdf","3105595",".pdf","7.966","5/8/2025 12:44:21 PM","3/2/2004 9:48:11 AM"
"2025-05-09 01:04:15","005895.html","182388",".html","3.609","5/8/2025 12:44:24 PM","4/15/2003 10:46:54 AM"
"2025-05-09 01:04:15","000458.html","20543",".html","5.857","5/8/2025 12:43:54 PM","2/5/2009 5:15:19 PM"
"2025-05-09 01:04:15","009285.xml","816",".xml","5.42","5/8/2025 1:06:30 PM","5/8/2025 1:06:30 PM"
"2025-05-09 01:04:15","006464.ppt","869412",".ppt","7.67","5/8/2025 1:50:31 PM","5/8/2025 1:50:31 PM"
"2025-05-09 01:04:15","009920.xls","26660",".xls","2.794","5/8/2025 4:26:00 PM","5/8/2025 4:26:00 PM"
"2025-05-09 01:04:15","000814.html","2753",".html","5.024","5/8/2025 2:33:14 PM","5/8/2025 2:33:14 PM"
"2025-05-09 01:04:15","004144.pdf","26074",".pdf","7.01","5/8/2025 12:44:15 PM","2/5/2009 9:13:39 PM"
"2025-05-09 01:04:15","008297.txt","25760",".txt","3.175","5/8/2025 12:43:48 PM","8/22/1997 4:26:58 PM"
"2025-05-09 01:04:15","001111.xls","25600",".xls","2.511","5/8/2025 2:52:20 PM","5/8/2025 2:52:20 PM"
"2025-05-09 01:04:15","000623.html","307",".html","5.112","5/8/2025 12:43:55 PM","2/5/2009 5:16:50 PM"
"2025-05-09 01:04:15","001810.txt","169081",".txt","2.739","5/8/2025 2:33:57 PM","5/8/2025 2:33:57 PM"
"2025-05-09 01:04:15","006702.jpg","160553",".jpg","7.898","5/8/2025 12:44:01 PM","7/20/2007 7:34:35 PM"
"2025-05-09 01:04:15","004314.gif","15781",".gif","7.964","5/8/2025 12:44:16 PM","3/10/2006 5:40:52 AM"
"2025-05-09 01:04:15","000230.txt","28277",".txt","4.714","5/8/2025 12:43:53 PM","1/10/2005 1:47:02 PM"
"2025-05-09 01:04:15","001035.pdf","543248",".pdf","7.753","5/8/2025 12:44:04 PM","7/3/2006 10:40:24 AM"
